2018-1-20 15:48:58:594			
2018-1-20 15:48:58:594			开始运行
2018-1-20 15:49:0:707			成功建立数据库连接
2018-1-20 15:49:0:707			开始加载数据库blockdetail信息
2018-1-20 15:49:1:899			完成加载数据库blockdetail信息
2018-1-20 15:49:1:899			开始根据featureid加载对象并提取对象状态
2018-1-20 15:49:6:915			本次需从LayerId: 1 中加载, 542 条要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 520 条存在要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 15:49:7:829			本次需从LayerId: 24 中加载, 932 条要素
2018-1-20 15:49:7:829			本次共从LayerId: 24 中加载, 906 条存在要素
2018-1-20 15:49:7:830			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 15:49:7:833			blockid: 1766 存在逻辑错误1,200000000035641
2018-1-20 15:49:7:833			blockid: 1767 开始运行
2018-1-20 15:49:7:833			blockid: 1767 存在逻辑错误1,200000000035642
2018-1-20 15:49:7:833			blockid: 1768 开始运行
2018-1-20 15:49:7:833			blockid: 1768 存在逻辑错误1,200000000035643
2018-1-20 15:49:7:833			blockid: 1769 开始运行
2018-1-20 15:49:7:833			blockid: 1769 存在逻辑错误1,200000000035645
2018-1-20 15:49:7:833			blockid: 1770 开始运行
2018-1-20 15:49:7:833			blockid: 1770 存在逻辑错误1,200000000035648
2018-1-20 15:49:7:833			blockid: 1771 开始运行
2018-1-20 15:49:7:833			blockid: 1771 存在逻辑错误1,200000000035649
2018-1-20 15:49:7:833			blockid: 1771 存在逻辑错误1,200000000035650
2018-1-20 15:49:7:833			blockid: 1771 存在逻辑错误1,200000000035658
2018-1-20 15:49:7:833			blockid: 1772 开始运行
2018-1-20 15:49:7:833			blockid: 1772 存在逻辑错误1,200000000035651
2018-1-20 15:49:7:833			blockid: 1773 开始运行
2018-1-20 15:49:7:833			blockid: 1773 存在逻辑错误1,200000000035652
2018-1-20 15:49:7:833			blockid: 1774 开始运行
2018-1-20 15:49:7:833			blockid: 1774 存在逻辑错误1,200000000035653
2018-1-20 15:49:7:833			blockid: 1775 开始运行
2018-1-20 15:49:7:833			blockid: 1775 存在逻辑错误1,200000000035654
2018-1-20 15:49:7:833			blockid: 1775 存在逻辑错误1,200000000035663
2018-1-20 15:49:7:833			blockid: 1776 开始运行
2018-1-20 15:49:7:833			blockid: 1776 存在逻辑错误1,200000000035655
2018-1-20 15:49:7:833			blockid: 1777 开始运行
2018-1-20 15:49:7:833			blockid: 1777 存在逻辑错误1,200000000035656
2018-1-20 15:49:7:833			blockid: 1778 开始运行
2018-1-20 15:49:7:833			blockid: 1778 存在逻辑错误1,200000000035657
2018-1-20 15:49:7:833			blockid: 1779 开始运行
2018-1-20 15:49:7:833			blockid: 1779 存在逻辑错误1,200000000035659
2018-1-20 15:49:7:833			blockid: 1779 存在逻辑错误1,200000000035699
2018-1-20 15:49:7:833			blockid: 1780 开始运行
2018-1-20 15:49:7:833			blockid: 1780 存在逻辑错误1,200000000035660
2018-1-20 15:49:7:833			blockid: 1781 开始运行
2018-1-20 15:49:7:833			blockid: 1781 存在逻辑错误1,200000000035661
2018-1-20 15:49:7:833			blockid: 1782 开始运行
2018-1-20 15:49:7:833			blockid: 1782 存在逻辑错误1,200000000035662
2018-1-20 15:49:7:833			blockid: 1783 开始运行
2018-1-20 15:49:7:833			blockid: 1783 存在逻辑错误1,200000000035664
2018-1-20 15:49:7:833			blockid: 1783 存在逻辑错误1,200000000035694
2018-1-20 15:49:7:833			blockid: 1784 开始运行
2018-1-20 15:49:7:833			blockid: 1784 存在逻辑错误1,200000000035665
2018-1-20 15:49:7:833			blockid: 1785 开始运行
2018-1-20 15:49:7:833			blockid: 1785 存在逻辑错误1,200000000035666
2018-1-20 15:49:7:833			blockid: 1786 开始运行
